GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,AREANAME,ABB001,ABB002,ABB003,ABB004,ABB005,ABB006
GIS Join Match Code,Data File Year,State Name,State Code,County Name,County Code,Area name,White >> Male,White >> Female,Nonwhite: Slave >> Male,Nonwhite: Slave >> Female,Nonwhite: Free >> Male,Nonwhite: Free >> Female
"G0100010","1820","Alabama","010","Autauga","0010","Autauga",1183,1020,856,791,2,1
"G0100030","1820","Alabama","010","Baldwin","0030","Baldwin",359,292,516,485,32,29
"G0100090","1820","Alabama","010","Blount","0090","Blount",1151,1088,77,98,0,1
"G0100130","1820","Alabama","010","Butler","0130","Butler",451,384,278,291,1,0
"G0100135","1820","Alabama","010","Cahawba","0135","Cahawba",1551,1379,373,373,0,0
"G0100250","1820","Alabama","010","Clarke","0250","Clarke",2030,1748,1006,1029,18,8
"G0100350","1820","Alabama","010","Conecuh","0350","Conecuh",2021,1748,971,960,8,5
"G0100375","1820","Alabama","010","Cotaco","0375","Cotaco",2243,2151,432,426,6,5
"G0100470","1820","Alabama","010","Dallas","0470","Dallas",1851,1473,1398,1279,1,1
"G0100590","1820","Alabama","010","Franklin","0590","Franklin",1818,1490,843,824,10,3
"G0100630","1820","Alabama","010","Greene","0630","Greene",1543,1318,834,857,1,1
"G0100670","1820","Alabama","010","Henry","0670","Henry",1133,878,326,300,1,0
"G0100710","1820","Alabama","010","Jackson","0710","Jackson",4220,3909,271,268,49,34
"G0100770","1820","Alabama","010","Lauderdale","0770","Lauderdale",1856,1700,828,550,14,15
"G0100790","1820","Alabama","010","Lawrence","0790","Lawrence",3032,2639,1514,1427,25,15
"G0100830","1820","Alabama","010","Limestone","0830","Limestone",3630,3292,1512,1407,26,4
"G0100890","1820","Alabama","010","Madison","0890","Madison",4805,4008,4585,4037,28,18
"G0100910","1820","Alabama","010","Marengo","0910","Marengo",1117,935,450,416,8,7
"G0100970","1820","Alabama","010","Mobile","0970","Mobile",1105,548,449,387,83,100
"G0100990","1820","Alabama","010","Monroe","0990","Monroe",2694,2320,1942,1852,16,14
"G0101010","1820","Alabama","010","Montgomery","1010","Montgomery",2094,1847,1417,1238,6,2
"G0101050","1820","Alabama","010","Perry","1050","Perry",1429,1225,511,477,3,1
"G0101150","1820","Alabama","010","St Clair","1150","St Clair",1920,1687,277,276,4,2
"G0101170","1820","Alabama","010","Shelby","1170","Shelby",1063,948,203,202,0,0
"G0101250","1820","Alabama","010","Tuscaloosa","1250","Tuscaloosa",3101,2793,1176,1159,0,0
"G0101290","1820","Alabama","010","Washington","1290","Washington",1450,1019,912,719,11,7
"G0101310","1820","Alabama","010","Wilcox","1310","Wilcox",900,656,760,594,4,3
"G0550015","1820","Arkansas Territory","055","Arkansas","0015","Arkansas",642,434,86,92,5,1
"G0550055","1820","Arkansas Territory","055","Clark","0055","Clark",522,448,37,33,0,0
"G0550135","1820","Arkansas Territory","055","Hempstead","0135","Hempstead",925,828,247,234,12,0
"G0550275","1820","Arkansas Territory","055","Lawrence","0275","Lawrence",2747,2326,257,233,17,12
"G0550295","1820","Arkansas Territory","055","Miller","0295","Miller",518,399,40,42,0,0
"G0550335","1820","Arkansas Territory","055","Phillips","0335","Phillips",603,449,71,74,0,0
"G0550375","1820","Arkansas Territory","055","Pulaski","0375","Pulaski",1014,724,82,89,10,2
"G0900010","1820","Connecticut","090","Fairfield","0010","Fairfield",20502,20851,10,17,677,677
"G0900030","1820","Connecticut","090","Hartford","0030","Hartford",22629,23428,9,8,601,589
"G0900050","1820","Connecticut","090","Litchfield","0050","Litchfield",19857,20431,3,0,454,428
"G0900070","1820","Connecticut","090","Middlesex","0070","Middlesex",10590,11305,2,7,232,268
"G0900090","1820","Connecticut","090","New Haven","0090","New Haven",18667,19701,8,8,589,637
"G0900110","1820","Connecticut","090","New London","0110","New London",16397,17842,3,8,806,887
"G0900130","1820","Connecticut","090","Tolland","0130","Tolland",6910,7170,1,1,139,109
"G0900150","1820","Connecticut","090","Windham","0150","Windham",15155,15726,1,11,379,412
"G1000010","1820","Delaware","100","Kent","0010","Kent",7163,7027,627,443,2740,2793
"G1000030","1820","Delaware","100","New Castle","0030","New Castle",11288,11072,654,541,2215,2129
"G1000050","1820","Delaware","100","Sussex","0050","Sussex",9454,9278,1274,970,1524,1557
"G1300010","1820","Georgia","130","Appling","0010","Appling",581,597,38,40,5,3
"G1300090","1820","Georgia","130","Baldwin","0090","Baldwin",1901,1586,2195,2043,3,6
"G1300290","1820","Georgia","130","Bryan","0290","Bryan",391,368,1119,1119,13,11
"G1300310","1820","Georgia","130","Bulloch","0310","Bulloch",955,922,355,342,4,0
"G1300330","1820","Georgia","130","Burke","0330","Burke",2941,2732,2973,2847,39,45
"G1300390","1820","Georgia","130","Camden","0390","Camden",903,905,1426,1056,31,20
"G1300510","1820","Georgia","130","Chatham","0510","Chatham",2508,2061,4622,4920,248,378
"G1300590","1820","Georgia","130","Clarke","0590","Clarke",2757,2528,1701,1760,14,7
"G1300730","1820","Georgia","130","Columbia","0730","Columbia",2663,2550,3763,3657,32,30
"G1300990","1820","Georgia","130","Early","0990","Early",318,233,107,109,0,1
"G1301030","1820","Georgia","130","Effingham","1030","Effingham",872,782,761,586,9,8
"G1301050","1820","Georgia","130","Elbert","1050","Elbert",3362,3267,2604,2555,0,0
"G1301070","1820","Georgia","130","Emanuel","1070","Emanuel",1272,1254,187,180,20,15
"G1301190","1820","Georgia","130","Franklin","1190","Franklin",3790,3450,866,908,12,14
"G1301270","1820","Georgia","130","Glynn","1270","Glynn",348,295,1417,1343,7,8
"G1301330","1820","Georgia","130","Greene","1330","Greene",3415,3184,3497,3440,25,28
"G1301350","1820","Georgia","130","Gwinnett","1350","Gwinnett",2071,1979,239,299,0,1
"G1301370","1820","Georgia","130","Habersham","1370","Habersham",1494,1374,146,131,0,0
"G1301390","1820","Georgia","130","Hall","1390","Hall",2370,2311,182,217,3,3
"G1301410","1820","Georgia","130","Hancock","1410","Hancock",3030,2817,3617,3246,9,15
"G1301550","1820","Georgia","130","Irwin","1550","Irwin",172,200,27,12,0,0
"G1301570","1820","Georgia","130","Jackson","1570","Jackson",3187,3159,967,1030,5,7
"G1301590","1820","Georgia","130","Jasper","1590","Jasper",4828,4258,2767,2727,22,12
"G1301630","1820","Georgia","130","Jefferson","1630","Jefferson",2010,1922,1571,1523,15,13
"G1301690","1820","Georgia","130","Jones","1690","Jones",5064,4556,3488,3398,40,24
"G1301750","1820","Georgia","130","Laurens","1750","Laurens",1787,1663,982,993,8,3
"G1301790","1820","Georgia","130","Liberty","1790","Liberty",867,774,2532,2505,4,13
"G1301810","1820","Georgia","130","Lincoln","1810","Lincoln",1766,1612,1564,1499,11,6
"G1301910","1820","Georgia","130","McIntosh","1910","Mcintosh",771,572,1890,1825,36,35
"G1301950","1820","Georgia","130","Madison","1950","Madison",1418,1411,433,471,2,0
"G1302090","1820","Georgia","130","Montgomery","2090","Montgomery",575,590,354,349,1,0
"G1302110","1820","Georgia","130","Morgan","2110","Morgan",3960,3503,3043,3002,10,2
"G1302210","1820","Georgia","130","Oglethorpe","2210","Oglethorpe",3461,3242,3705,3633,5,0
"G1302350","1820","Georgia","130","Pulaski","2350","Pulaski",1697,1540,1053,968,12,13
"G1302370","1820","Georgia","130","Putnam","2370","Putnam",4236,3972,3592,3649,21,5
"G1302410","1820","Georgia","130","Rabun","2410","Rabun",256,253,9,6,0,0
"G1302450","1820","Georgia","130","Richmond","2450","Richmond",2136,1531,2549,2282,49,61
"G1302510","1820","Georgia","130","Screven","2510","Screven",1085,1005,967,866,12,6
"G1302670","1820","Georgia","130","Tattnall","2670","Tattnall",1062,1001,291,277,8,5
"G1302710","1820","Georgia","130","Telfair","2710","Telfair",746,677,332,314,14,21
"G1302890","1820","Georgia","130","Twiggs","2890","Twiggs",3680,3416,1807,1720,8,9
"G1302970","1820","Georgia","130","Walton","2970","Walton",1832,1724,281,350,3,2
"G1303010","1820","Georgia","130","Warren","3010","Warren",3300,3230,2078,1963,27,32
"G1303030","1820","Georgia","130","Washington","3030","Washington",3366,3331,2037,1861,21,11
"G1303050","1820","Georgia","130","Wayne","3050","Wayne",327,344,186,147,2,4
"G1303170","1820","Georgia","130","Wilkes","3170","Wilkes",4011,3827,4896,4809,35,28
"G1303190","1820","Georgia","130","Wilkinson","3190","Wilkinson",2862,2654,700,763,6,7
"G1700030","1820","Illinois","170","Alexander","0030","Alexander",293,333,0,0,0,0
"G1700050","1820","Illinois","170","Bond","0050","Bond",1546,1336,16,11,10,12
"G1700230","1820","Illinois","170","Clark","0230","Clark",490,440,0,1,0,0
"G1700330","1820","Illinois","170","Crawford","0330","Crawford",1535,1392,0,0,33,39
"G1700470","1820","Illinois","170","Edwards","0470","Edwards",1861,1561,3,4,8,7
"G1700550","1820","Illinois","170","Franklin","0550","Franklin",873,818,4,3,32,33
"G1700590","1820","Illinois","170","Gallatin","0590","Gallatin",1609,1251,201,66,19,9
"G1700770","1820","Illinois","170","Jackson","0770","Jackson",844,659,24,15,0,0
"G1700810","1820","Illinois","170","Jefferson","0810","Jefferson",387,302,0,1,1,0
"G1700870","1820","Illinois","170","Johnson","0870","Johnson",432,397,6,7,1,0
"G1701190","1820","Illinois","170","Madison","1190","Madison",7554,5869,56,54,12,5
"G1701330","1820","Illinois","170","Monroe","1330","Monroe",828,665,5,8,8,2
"G1701510","1820","Illinois","170","Pope","1510","Pope",1324,1252,0,0,14,20
"G1701570","1820","Illinois","170","Randolph","1570","Randolph",1751,1424,126,107,44,40
"G1701630","1820","Illinois","170","St Clair","1630","St Clair",2861,2207,58,40,40,42
"G1701810","1820","Illinois","170","Union","1810","Union",1254,1084,14,10,0,0
"G1701890","1820","Illinois","170","Washington","1890","Washington",839,645,11,15,5,2
"G1701910","1820","Illinois","170","Wayne","1910","Wayne",574,537,2,1,0,0
"G1701930","1820","Illinois","170","White","1930","White",2546,2215,22,26,10,9
"G1800190","1820","Indiana","180","Clark","0190","Clark",4478,4093,0,0,68,70
"G1800250","1820","Indiana","180","Crawford","0250","Crawford",1380,1203,0,0,0,0
"G1800270","1820","Indiana","180","Daviess","0270","Daviess",1810,1590,0,0,15,17
"G1800290","1820","Indiana","180","Dearborn","0290","Dearborn",6029,5367,0,0,43,29
"G1800350","1820","Indiana","180","Delaware","0350","Delaware",1915,1759,0,0,3,0
"G1800370","1820","Indiana","180","Dubois","0370","Dubois",612,548,0,0,3,5
"G1800410","1820","Indiana","180","Fayette","0410","Fayette",3100,2841,0,0,5,4
"G1800430","1820","Indiana","180","Floyd","0430","Floyd",1431,1276,0,0,36,33
"G1800470","1820","Indiana","180","Franklin","0470","Franklin",5491,5207,0,0,31,34
"G1800510","1820","Indiana","180","Gibson","0510","Gibson",2043,1758,12,18,24,21
"G1800610","1820","Indiana","180","Harrison","0610","Harrison",4038,3768,0,0,36,33
"G1800710","1820","Indiana","180","Jackson","0710","Jackson",2107,1867,0,0,19,17
"G1800770","1820","Indiana","180","Jefferson","0770","Jefferson",4134,3792,0,0,54,58
"G1800790","1820","Indiana","180","Jennings","0790","Jennings",1041,914,0,0,21,24
"G1800830","1820","Indiana","180","Knox","0830","Knox",2840,2313,65,53,92,74
"G1800930","1820","Indiana","180","Lawrence","0930","Lawrence",2151,1950,0,0,8,7
"G1801010","1820","Indiana","180","Martin","1010","Martin",606,422,0,0,4,0
"G1801050","1820","Indiana","180","Monroe","1050","Monroe",1418,1253,0,0,6,2
"G1801170","1820","Indiana","180","Orange","1170","Orange",2733,2539,0,0,49,47
"G1801190","1820","Indiana","180","Owen","1190","Owen",457,370,1,0,7,3
"G1801230","1820","Indiana","180","Perry","1230","Perry",1221,1093,0,1,4,11
"G1801250","1820","Indiana","180","Pike","1250","Pike",784,681,2,1,2,2
"G1801290","1820","Indiana","180","Posey","1290","Posey",2095,1949,8,3,4,2
"G1801350","1820","Indiana","180","Randolph","1350","Randolph",948,855,0,0,3,2
"G1801370","1820","Indiana","180","Ripley","1370","Ripley",927,893,0,0,2,0
"G1801430","1820","Indiana","180","Scott","1430","Scott",1235,1093,2,4,0,0
"G1801470","1820","Indiana","180","Spencer","1470","Spencer",980,897,0,3,2,0
